Id,Name,Text,type,all_points,X,Y,RadiusX,RadiusY,Width,Height,all_transforms
670,"image_review_1","image_review_1","Rectangle","28278.369140625,18281.41796875 36910.59765625,18281.41796875 36910.59765625,32415.01171875 28278.369140625,32415.01171875",28278.369140625,18281.41796875,-1,-1,8632.226562500007,14133.59375,"1,0,0,0,1,0,0,0,1"
671,"image_review_2","image_review_2","Rectangle","13116.064453125,12355.1484375 26288.037109375,12355.1484375 26288.037109375,29306.515625 13116.064453125,29306.515625",13116.064453125,12355.148437499996,-1,-1,13171.97265625,16951.367187500004,"1,0,0,0,1,0,0,0,1"
2876,"undefined","cycle10","Polygon","20047.32,13839.99 19346.66,13362.27 19028.18,13824.07 18534.54,14142.55 18024.97,14636.19 17419.86,14906.90 17021.76,15241.31 16989.91,15575.71 16623.66,15957.89 16352.95,16196.75 16273.33,16833.71 16416.64,17279.58 16973.98,17900.62 17403.93,18075.78 17786.11,18298.72 18327.52,18298.72 18853.02,18219.10 19219.27,18664.97 19187.42,18967.52 18438.99,19843.35 18295.68,20575.85 18486.76,21833.85 18916.71,23075.92 19537.75,23744.73 20079.16,24095.06 20716.13,24206.52 20891.29,25193.81 21974.12,26021.86 22849.94,26308.49 23725.76,25942.24 24123.86,27120.62 24935.99,27582.42 26146.21,27439.10 26623.93,26738.44 26337.30,25990.01 26464.69,25719.30 26130.29,25528.22 25907.35,24954.95 26178.06,24365.76 26639.86,24254.30 27006.11,24445.38 27165.35,23951.74 27069.81,23346.63 27165.35,22916.68 27658.99,22709.67 28057.09,22088.63 28057.09,21626.83 27850.08,20798.79 27563.45,20209.60 26830.95,19715.95 26369.15,19604.49 25923.28,20114.05 25939.20,20719.17 25716.26,21356.13 24951.91,21738.30 24187.56,21372.05 24553.81,20782.86 24490.12,20321.07 24219.41,19795.57 23757.61,19540.79 24251.26,18840.13 24251.26,17789.15 24283.10,17359.20 24044.24,16785.93 23693.92,16499.30 23248.04,16547.07 23104.73,15941.96 22881.79,15273.15 22547.39,14811.36 21926.35,14445.11 20827.59,14890.98",-1,-1,-1,-1,-1,-1,-1
2877,"undefined","cycle7","Polygon","11584.31,9201.54 11694.71,8629.48 11122.65,8298.28 10620.85,8368.54 10279.62,8167.82 10249.51,7886.80 9727.63,7736.26 9025.10,7876.77 8172.03,7987.16 7830.80,8388.61 7891.02,8890.42 7971.31,9412.30 8332.61,9703.34 7770.58,9954.25 7870.94,10345.66 8322.57,10415.91 9195.72,10175.04 9356.29,10355.69 9466.69,10727.03 8974.92,10977.93 8713.98,11228.84 8101.78,10967.90 7981.34,11349.27 8212.17,11690.50 8111.81,11971.51 7549.79,12433.17 7308.92,13105.59 7599.97,13326.39 8312.53,13105.59 8432.97,13798.09 9125.46,13868.34 9587.12,13205.95 10369.94,12945.02 10420.12,13236.06 10098.97,13848.27 9667.41,14360.11 9396.44,14881.99 8944.81,14912.10 8724.02,15464.08 8703.94,16076.29 9125.46,16568.06 9366.33,17250.52 9567.05,17531.53 9868.14,17973.12 10189.29,18213.99 10610.81,18535.14 10530.52,18816.15 9988.57,18765.97 9526.91,18605.40 9306.11,18846.26 9416.51,19348.07 8904.67,19849.88 8954.85,20120.85 9396.44,20572.48 9807.92,20712.98 10279.62,20773.20 11012.26,20994.00 11463.88,21686.49 11935.58,22087.93 12226.63,22439.20 12929.16,22368.95 13260.35,22609.81 13792.27,22690.10 13752.12,23121.66 13360.71,23332.41 13681.87,24004.84 14143.53,24677.26 14133.49,24988.38 14364.33,25500.22 14093.35,25831.41 13430.97,25791.27 12828.80,25670.83 12527.71,25500.22 12316.95,25179.06 11915.51,25219.21 11353.48,25470.11 11142.73,25771.20 10671.03,26082.32 10560.63,26694.52 10751.32,27246.51 10550.59,27587.74 10952.04,28149.76 11353.48,28189.90 11564.24,27898.86 11955.65,28169.83 12567.86,28340.45 13501.22,28651.57 14253.93,29042.98 15036.75,29705.36 15759.35,29695.32 16200.94,28802.11 16361.52,28430.77 16853.29,27979.15 16702.75,27758.35 16261.16,27467.30 16000.22,27417.12 15568.66,27567.66 14896.24,27637.92 14153.57,27507.45 14314.14,26965.50 15026.71,26523.91 15518.48,26453.65 16361.52,26654.38 17164.41,26654.38 17907.08,27186.29 18930.77,27336.83 19793.88,27366.94 20416.12,27597.77 20827.60,27467.30 20897.85,26945.42 21600.38,26774.81 22031.93,27447.23 23085.73,27979.15 23657.79,28420.74 24551.00,28792.07 25594.76,28992.80 27361.12,29203.55 28605.60,29303.92 29458.67,29484.57 30944.02,29695.33 33372.77,30698.94 33407.50,29680.43 32772.10,29097.15 32734.15,28363.41 32443.19,27541.13 33037.76,26604.98 32999.81,25845.95 33341.38,24947.76 33189.57,24036.92 32734.15,23315.83 32266.08,22797.16 32455.84,21823.06 32430.54,21203.19 31393.19,21936.92 30722.71,21898.97 29723.31,21886.32 28989.58,22569.45 28926.32,23948.36 29280.54,25314.62 29761.26,25972.46 30090.18,26415.23 30039.58,26971.85 29381.75,26604.98 29103.43,26339.32 28458.25,26680.89 27686.57,26427.88 27319.70,25997.76 26750.42,25883.90 26269.70,25618.24 25890.18,25137.52 26004.04,24656.79 26510.06,24467.04 27079.34,24340.53 27218.50,23670.05 27091.99,23126.07 27522.11,22835.11 28053.43,22227.88 28116.69,21405.60 27914.28,20545.36 27496.81,19887.53 26952.83,19508.01 26497.41,19204.39 25940.79,19330.90 25561.27,19862.22 25409.46,20545.36 25156.45,21215.84 24827.54,21544.75 24359.46,21557.40 24498.62,21076.68 24511.27,20330.30 24359.46,19659.81 24498.62,18951.38 24738.98,18091.14 24751.63,17572.47 24511.27,17167.65 24220.31,16939.94 24017.90,16345.36 23600.43,16168.25 23208.26,15877.29 22854.04,14953.80 22158.26,14359.22 21677.54,14156.81 21057.66,14245.37 20918.51,14523.68 20260.67,13853.20 19969.71,13321.87 19463.69,13144.76 18945.01,13600.19 18692.00,13144.76 18122.73,13144.76 17629.35,13612.84 17047.43,13751.99 16579.36,13195.37 16769.11,12676.69 17085.38,12132.72 17300.44,11449.59 16933.57,11095.37 16781.77,10665.25 16161.89,10260.43 15946.83,10576.70 15352.25,10462.84 15162.49,9779.71 14492.01,9514.05 13910.08,9476.10 13075.14,9602.60 12417.31,10323.69 11974.54,10677.90 11506.47,10956.21 11114.30,10602.00 11531.77,9754.41 11822.74,9134.53 11898.64,8881.52",-1,-1,-1,-1,-1,-1,-1
2878,"undefined","necrosis","Polygon","16139.03,24580.27 15971.53,24605.56 15822.99,24450.70 15683.93,24317.96 15465.86,24321.12 15279.39,24381.17 15111.88,24605.56 15096.08,24716.17 15190.90,24861.55 15213.02,25032.22 15127.69,25161.80 15089.76,25304.02 15165.61,25319.82 15367.88,25364.07 15437.41,25449.40 15614.40,25351.42 15987.33,25395.67 16123.23,25515.77 16391.87,25620.06 16474.04,25572.66 16338.14,25405.15 16271.77,25225.01 16328.66,24953.21 16382.39,24785.70 16350.78,24703.53 16271.77,24649.80",-1,-1,-1,-1,-1,-1,-1
2879,"undefined","necrosis","Polygon","17153.54,23622.66 16970.23,23575.25 16730.04,23679.54 16572.01,23745.91 16442.44,23802.80 16334.98,23878.65 16101.11,23954.50 16003.13,24020.87 16154.83,24156.77 16246.49,24267.39 16385.55,24210.50 16590.98,24137.81 16685.79,24172.58 16932.31,24112.53 17150.38,24049.32 17248.35,23929.22 17302.08,23774.36 17267.31,23692.19",-1,-1,-1,-1,-1,-1,-1
2880,"undefined","necrosis","Polygon","16444.02,22552.84 16311.28,22495.95 16134.29,22388.50 15976.27,22495.95 15875.13,22672.94 15622.30,22685.58 15540.13,22812.00 15464.28,23020.59 15546.45,23222.86 15698.15,23342.96 15849.85,23380.88 16178.54,23330.31 16330.24,23273.43 16412.41,23007.95 16500.90,22843.60 16494.58,22653.98",-1,-1,-1,-1,-1,-1,-1
2881,"undefined","necrosis","Polygon","11418.89,19088.98 11298.80,18981.53 11172.38,19051.06 11001.71,19006.81 10894.26,19120.59 10723.59,19126.91 10502.36,19196.44 10515.00,19316.54 10748.88,19392.39 10995.39,19449.28 11096.53,19499.84 11191.34,19518.81 11254.55,19303.90 11387.29,19190.12",-1,-1,-1,-1,-1,-1,-1
2882,"undefined","necrosis","Polygon","12164.76,16939.88 11981.46,17186.39 11804.47,17394.98 11753.90,17546.68 11855.04,17748.95 11905.60,17906.97 11829.75,18210.38 11690.69,18317.83 11690.69,18450.57 11892.96,18501.14 12050.99,18551.71 12152.12,18791.90 12152.12,19101.63 12265.90,19215.40 12512.41,19145.87 12714.68,19107.95 13011.76,19253.33 13251.96,19367.10 13428.94,19423.99 13707.06,19297.57 13921.97,19164.84 13681.78,19032.10 13631.21,18741.33 13688.10,18324.15 13669.14,18128.21 13504.79,18102.92 13283.56,18292.55 13100.26,18418.97 12948.55,18279.91 12860.06,18052.36 12739.96,17881.69 12670.43,18083.96 12638.83,18368.40 12499.77,18469.54 12341.75,18425.29 12246.93,18185.09 12152.12,17982.83 12139.48,17729.99 12253.25,17420.26 12303.82,17230.64",-1,-1,-1,-1,-1,-1,-1
2883,"undefined","necrosis","Polygon","11949.85,13634.04 11760.22,13709.89 11583.24,13766.78 11368.33,13754.14 11083.89,13886.88 10913.22,14032.26 10793.12,14202.92 10609.82,14411.51 10590.86,14607.46 10679.35,14765.48 10805.77,14778.13 10963.79,14676.99 11191.34,14639.07 11507.39,14493.68 11810.79,14405.19 11943.53,14190.28 12082.59,13937.44 12126.84,13811.03 12057.31,13722.53",-1,-1,-1,-1,-1,-1,-1
