Id,Name,Text,type,all_points,X,Y,RadiusX,RadiusY,Width,Height,all_transforms
643,"image_review_1","image_review_1","Rectangle","3204.759765625,2258.0390625 14546.763671875,2258.0390625 14546.763671875,15090.62890625 3204.759765625,15090.62890625",3204.759765624999,2258.0390625000036,-1,-1,11342.003906249996,12832.589843749998,"1,0,0,0,1,0,0,0,1"
644,"undefined","","Rectangle","19218.39453125,12488.87890625 25648.240234375,12488.87890625 25648.240234375,17936.29296875 19218.39453125,17936.29296875",19218.395507812496,12488.878906250004,-1,-1,6429.845703125,5447.4140625,"1,0,0,0,1,0,0,0,1"
2888,"undefined","cycle7_10","Polygon","6803.32,3594.81 6711.01,3400.97 6258.73,3604.04 5714.14,4157.86 5501.85,4803.98 5335.70,5357.80 5206.48,5634.70 4744.96,5745.47 4449.59,6317.75 3932.70,6594.66 3738.86,7425.38 3434.26,8126.88 3489.64,8579.17 3332.73,9197.60 3221.96,9686.80 3305.04,9880.64 3812.70,9936.02 4163.45,10203.70 4071.15,10369.84 4209.61,10785.21 4421.90,11154.42 4597.28,11431.33 5021.87,11071.35 5040.33,11532.86 5169.56,11726.70 4975.72,11772.85 4911.11,12418.97 4984.95,12991.25 5040.33,13268.15 5289.55,13369.69 5889.52,13545.06 5917.21,13877.35 5806.45,14098.88 6175.66,14523.47 7135.61,14957.30 7375.60,14680.39 7200.22,14440.40 7154.07,13886.58 7200.22,13240.46 7255.60,12760.49 7357.14,12548.19 7477.13,12243.59 7541.74,12538.96 7532.51,12926.63 7984.79,13120.47 8150.94,12898.94 8150.94,12474.35 8354.01,12298.97",-1,-1,-1,-1,-1,-1,-1
2889,"undefined","cycle7_10","Polygon","6916.27,3780.13 7858.04,4617.26 7916.17,4396.35 7485.98,3756.88 7218.57,3163.91 7451.10,2884.87 7788.28,2943.00 8776.55,1919.85 9171.86,1954.73 9846.21,1768.70 10811.23,2187.27 11927.40,2140.76 12252.95,2384.92 12194.82,3861.52 11578.60,4896.30 10648.46,5884.57 10067.12,6093.85 9695.06,5861.32 9264.87,6093.85 9416.02,6303.13 9671.81,6047.35 10206.64,6500.79 10415.92,6803.09 9904.35,7314.66 9764.82,7570.45 10160.13,7651.84 10450.80,7977.39 10578.70,7593.70 10974.01,7686.72 11334.44,8209.92 11299.56,9267.96 11694.87,9291.21 11904.15,9465.61 12194.82,8523.84 12462.23,8372.70 13380.74,8558.72 14031.84,9140.06 14496.91,10198.10 14031.84,10442.26 13590.03,10093.46 13531.89,9605.13 12892.42,9419.10 13380.74,9965.56 13648.16,10616.66 13136.58,10988.72 12590.13,11035.22 12206.44,10767.81 11753.00,10407.38 11706.49,10000.44 11380.94,10314.36 11532.09,10686.42 11939.03,11035.22 12799.41,11232.88 13415.62,11604.93 13345.86,12279.29 13427.25,12790.86 13531.89,13325.69 12857.54,13662.87 12311.08,13930.28 11927.40,13709.38 11694.87,14023.30 11357.69,14093.06 11067.02,13814.02 10613.58,13965.16 9997.36,14034.92 9520.66,14011.67 9369.52,13767.51 8869.56,13558.23 8334.73,13267.56 8416.12,12593.21 8520.76,12279.28 8334.73,12209.52",-1,-1,-1,-1,-1,-1,-1
2890,"undefined","cycle7_10","Polygon","10148.51,14034.92 9799.70,14290.71 9218.37,14627.89 8497.51,14499.99 7695.26,14534.88 7172.06,14767.41 6916.27,15569.66 7020.91,16150.99 7299.95,16534.68 7590.62,16732.33 6800.00,16662.57 6846.51,17092.76 7381.34,17476.44 7951.05,17592.71 8276.60,18197.30 8706.79,18336.82 9020.71,18034.53 9497.41,17964.77 10462.43,17371.80 11101.90,16616.06 11311.18,16162.62 10915.87,15976.59 10439.18,15941.71 11171.66,15895.20 11380.94,15395.25 11229.80,15116.21 10811.23,15360.37 10636.83,15058.08 10846.11,14744.16 10741.47,14453.49 10741.47,14139.57",-1,-1,-1,-1,-1,-1,-1
2891,"undefined","cycle7_10","Polygon","8137.08,19604.14 7741.77,19127.44 7392.97,18860.03 7020.91,18511.22 6509.33,18301.94 6439.57,18674.00 7416.22,20383.13 7881.29,21243.51 8590.52,22243.41 9055.59,22406.19 9218.37,21999.25 9590.42,21859.73 9950.85,22417.81 10497.31,22092.26 10543.82,22406.19 11008.89,22510.83 11404.20,22150.40 12090.18,21894.61 12055.29,22417.81 12369.22,22975.90 13648.16,22848.00 14787.58,21464.42 14787.58,20638.92 14241.12,19766.91 13752.80,19150.70 13031.94,18825.15 12276.20,18674.00 11229.80,18941.41 10880.99,19127.44 10357.79,19162.32 10171.76,19615.77 9613.68,19778.54 9462.53,19080.93 9334.63,18755.39 8683.54,18499.60 8381.24,18325.20 8416.12,18999.55 8357.99,19383.23 8323.11,19639.02",-1,-1,-1,-1,-1,-1,-1
2892,"undefined","cycle7_10","Polygon","16519.97,15778.94 16368.82,16895.11 16531.59,18290.32 17078.05,19871.55 17926.80,20952.84 19287.13,21359.78 20542.82,21324.90 21403.20,21731.83 22112.43,21592.31 22717.02,20999.35 23321.61,21313.27 24670.32,21580.69 26693.37,20580.79 26565.48,19080.93 25914.38,17255.54 25181.89,16244.01 24286.64,15871.95 24681.95,15174.35 24344.77,14999.94 25042.37,13895.40 24693.57,13395.45 24856.35,12546.70 24565.68,11767.71 24507.54,10465.51 23972.71,9163.32 23740.18,8768.01 23565.78,8233.18 23193.72,8163.42 23647.16,7558.82 23333.24,6965.86 22658.89,5686.92 22100.81,5268.35 21496.22,5721.80 20403.30,6372.90 19973.11,6512.42 19508.04,7058.87 19066.22,7500.69 18345.37,7640.21 17240.82,8023.89 17043.17,9047.05 16252.55,9547.00 15403.80,9895.80 14961.98,10500.39 15066.62,11093.36 15996.76,11198.00 16438.58,11558.43 16485.09,12139.76 15868.87,12697.85 15159.64,12662.97 14915.47,12546.70 15764.23,14639.52 16240.92,15558.03",-1,-1,-1,-1,-1,-1,-1
2893,"undefined","necrosis","Polygon","17474.68,7871.79 17260.85,7862.89 16637.17,8308.37 16289.69,8789.49 16334.24,9030.06 16280.78,9208.25 15862.02,9279.53 15470.00,9520.09 14899.78,10482.34 14543.39,12487.02 14730.49,13761.10 15363.08,14750.08 15870.93,15044.10 15879.84,15961.80 16182.77,17111.15 16218.41,18064.49 16592.62,18474.33 16467.88,17440.81 16485.70,16095.44 16280.78,15329.21 16022.40,14634.25 15532.37,13832.38 14979.96,12709.76 15024.51,11248.57 15122.52,10767.45 15175.98,10286.32 15648.19,9742.83 15674.92,10321.96 16013.49,10054.67 16316.42,9511.18 17002.47,9154.79 17341.03,8976.60 17572.69,7987.62",-1,-1,-1,-1,-1,-1,-1
2894,"undefined","FOXP3","Polygon","3317.88,9257.12 3221.80,9698.41 3517.17,9758.91 3638.17,9588.09 3641.73,9449.29 3538.53,9367.44 3360.59,9321.18",-1,-1,-1,-1,-1,-1,-1
2895,"undefined","CD66b","Polygon","16899.34,10626.14 16770.95,10563.73 16640.79,10656.45 16610.48,10777.70 16660.40,10881.12 16762.04,10920.35 16920.73,10884.69 16974.22,10756.31",-1,-1,-1,-1,-1,-1,-1
