Id,Name,Text,type,all_points,X,Y,RadiusX,RadiusY,Width,Height,all_transforms
651,"undefined","","Rectangle","2656.33984375,1686.7396240234375 14088.6884765625,1686.7396240234375 14088.6884765625,22533.96484375 2656.33984375,22533.96484375",2656.3399214573164,1686.7396260765236,-1,-1,11432.349029056804,20847.22470004476,"1,0,0,0,1,0,0,0,1"
3312,"undefined","cycle7","Polygon","10633.08,1965.46 10741.12,2361.94 11247.01,2394.58 12409.74,2618.97 13135.93,2961.67 13097.25,3956.38 12819.83,4609.14 11971.24,5474.04 11873.33,6697.97 10812.59,7073.31 10502.53,7677.11 10959.46,8884.72 11379.72,9583.42 11818.22,10420.02 11679.74,10766.20 12429.80,10362.32 12493.26,10443.10 12216.02,11038.83 11483.58,11498.94 10831.61,12070.13 9800.81,11773.18 9694.99,11331.62 9210.34,11187.38 8772.72,10532.94 7940.45,9700.67 9245.97,7775.02 10747.31,6045.21 11351.12,4788.65 10371.98,4641.78 9653.94,2830.37 8625.85,3662.64 7646.71,2634.54 8119.96,1622.76 8886.95,2487.67 9621.30,1932.82",-1,-1,-1,-1,-1,-1,-1
3313,"undefined","cycle7","Polygon","3697.51,4935.52 5623.15,4935.52 5443.64,6371.59 5655.79,7073.31 6504.37,7497.60 5933.21,8509.38 6732.84,9406.92 5998.49,10712.44 4497.14,11479.44 4056.52,11218.33 4040.20,10549.25 3501.68,10092.32 3648.55,8982.63 5149.90,8313.55 4725.60,7872.94 4709.28,6714.29 3713.82,6959.07 3224.25,6616.38",-1,-1,-1,-1,-1,-1,-1
3314,"undefined","cycle7","Polygon","7432.87,11448.49 7204.40,13129.35 6992.26,14581.74 7808.21,14500.14 8428.33,14826.52 8248.82,15838.30 8297.78,16311.55 9750.17,16262.59 9211.64,15006.03 8477.28,13977.93 8477.28,12443.95 9374.83,11970.70 9162.68,11268.98",-1,-1,-1,-1,-1,-1,-1
3315,"undefined","cycle7","Polygon","2962.46,17530.11 4267.98,17399.55 4137.43,16812.07 4700.44,16608.08 5304.24,17521.95 5663.26,18027.83 6005.96,18713.23 6103.87,19047.77 5777.49,19357.83 5418.47,19137.53 5206.33,19023.29 5018.66,19064.09 5434.79,19365.99 5589.82,19455.75 5532.71,19741.33 5801.97,19790.29 6071.23,20222.74 6446.57,20736.79 6169.15,21136.60 5540.87,21479.30 5149.21,21740.41 4839.15,21740.41 4390.38,20728.63 4243.51,20279.86 4235.35,19831.08 3647.86,19733.17 3525.47,19341.51 4088.48,18794.83 3672.34,18713.23 3525.47,18395.01 2913.51,18313.42 2668.72,17750.41",-1,-1,-1,-1,-1,-1,-1
3319,"undefined","exclude DAPI","Polygon","12593.48,4714.75 12593.48,4714.75 12625.61,4730.05 12654.68,4766.26 12642.95,4782.07 12610.31,4781.56 12594.50,4742.80 12587.36,4719.34",-1,-1,-1,-1,-1,-1,-1
3323,"undefined","exclude PanCK","Ellipse","10720.5458984375,11888.583984375 10702.515625,11888.583984375 10711.53125,11898.8603515625 10711.53125,11878.306640625",10711.530898891127,11888.583618086821,9.015059415763972,10.27716773397151,-1,-1,"1,0,0,0,1,0,0,0,1"
3324,"undefined","exclude C3D","Ellipse","11412.205078125,5867.12890625 11289.8125,5867.12890625 11351.0087890625,5895.17724609375 11351.0087890625,5839.08056640625",11351.008377710968,5867.128774351171,61.196252598590945,28.0482668780096,-1,-1,"1,0,0,0,1,0,0,0,1"
3325,"undefined","exclude CD3","Polygon","11693.71,5924.76 11675.35,5968.61 11776.32,5961.47 11834.46,5895.18 11818.14,5891.10 11756.94,5919.66",-1,-1,-1,-1,-1,-1,-1
3326,"undefined","exclude CD3","Ellipse","11237.794921875,5786.0439453125 11176.5986328125,5786.0439453125 11207.197265625,5829.90087890625 11207.197265625,5742.1865234375",11207.197184104281,5786.043747439544,30.598126299295473,43.85732214382733,-1,-1,"1,0,0,0,1,0,0,0,1"
