Id,Name,Text,type,all_points,X,Y,RadiusX,RadiusY,Width,Height,all_transforms
655,"image_review_1","image_review_1","Rectangle","3271.593994140625,5553.8544921875 21142.513671875,5553.8544921875 21142.513671875,27433.447265625 3271.593994140625,27433.447265625",3271.5939997703326,5553.8545946119375,-1,-1,17870.92058372571,21879.593073562883,"1,0,0,0,1,0,0,0,1"
2923,"undefined","cycle10","Polygon","4160.09,12576.58 3745.88,16290.34 3825.90,18606.15 5213.81,21045.75 6145.74,22433.65 7490.37,23698.40 8166.01,23964.66 8768.43,24004.60 9175.51,24416.08 9683.53,25635.14 10907.29,26072.20 11956.22,26509.26 13529.62,26276.16 14840.10,25638.30 16831.13,23755.53 18539.74,21962.19 19547.02,20432.44 19815.32,18794.43 19631.75,17862.46 20135.39,17081.11 20036.54,14492.30 20318.96,12680.14 19801.20,11282.18 19213.66,10357.35 18294.98,9178.18 17202.97,9460.60 16887.61,8712.20 15780.46,7672.14 14623.58,8354.47 13964.61,7163.62 12773.76,6834.13 11733.53,6062.20 9836.64,6208.11 8184.51,7140.08 7224.30,7290.71 6537.09,8594.52 5986.38,9521.79 5873.41,10646.74 6094.63,11550.47 6668.88,12444.79 5694.55,12256.51 5242.68,10642.04 4470.75,11305.71",-1,-1,-1,-1,-1,-1,-1
2924,"undefined","necrosis","Polygon","15646.23,11107.71 16271.95,10761.57 16704.63,10635.10 16917.64,10548.56 16797.82,10388.80 16737.91,10315.58 16957.58,10095.91 17143.96,9723.14 17563.33,9563.38 17516.73,9889.56 17510.07,10275.64 17636.55,10561.87 17736.40,10741.60 17696.46,10854.76 17203.87,10788.20 16910.98,10848.11 16511.58,10861.42 15825.96,11081.09",-1,-1,-1,-1,-1,-1,-1
2925,"undefined","necrosis","Polygon","13156.66,7539.78 13442.89,7992.43 13855.60,7952.49 14035.33,7852.64 14188.43,7666.25 14434.73,8032.37 14707.65,8551.58 14501.29,8718.00 14487.98,8904.38 14867.41,9084.11 14567.86,9177.30 14474.67,9030.86 14221.72,8990.92 14108.55,9130.70 13908.86,9017.54 13875.57,8891.07 14002.05,8831.16 14115.21,8764.59 14088.58,8611.49 13882.23,8558.24 13689.19,8345.23 13409.61,8238.72 13329.73,8458.39 13209.91,8518.30 13043.50,8305.29",-1,-1,-1,-1,-1,-1,-1
2926,"undefined","exclude CD45","Ellipse","8296.53125,23718.490234375 8072.9521484375,23718.490234375 8184.74169921875,23837.9296875 8184.74169921875,23599.052734375",8184.741666132325,23718.49109161774,111.78939933166203,119.43816811954457,-1,-1,"1,0,0,0,1,0,0,0,1"
2927,"undefined","exclude CD45","Polygon","7006.80,22181.06 7112.71,22276.37 7163.31,22379.93 7113.88,22474.06 7119.77,22572.91 7148.01,22596.44 7150.36,22636.45 7124.47,22630.57 7111.53,22677.64 7093.88,22683.52 7069.17,22537.61 7044.46,22447.00 6987.97,22383.46 6997.39,22314.03 6952.67,22283.43",-1,-1,-1,-1,-1,-1,-1
2928,"undefined","exclude CD45","Polygon","11769.48,21041.27 11824.40,21014.64 11862.67,20953.07 11945.88,21027.96 11912.60,21131.13 11816.08,21167.74 11752.84,21136.12 11751.18,21056.25",-1,-1,-1,-1,-1,-1,-1
2929,"undefined","exclude CD45","Polygon","11927.58,20585.29 12012.45,20527.05 12122.28,20475.46 12175.53,20447.17 12210.48,20428.86 12207.15,20463.81 12165.55,20535.37 12059.04,20565.32",-1,-1,-1,-1,-1,-1,-1
2930,"undefined","exclude CD45","Polygon","11464.94,20498.76 11463.28,20542.02 11418.35,20611.92 11438.32,20665.17 11484.91,20690.13 11493.23,20658.51",-1,-1,-1,-1,-1,-1,-1
2931,"undefined","artifact","Polygon","10898.95,17429.00 11292.30,17698.52 11878.68,18004.46 12461.43,17785.93 12530.63,17778.65 12545.20,17822.35 11849.55,18077.30 11463.48,17840.56 11186.68,17720.37 10829.75,17454.50",-1,-1,-1,-1,-1,-1,-1
2932,"undefined","artifact","Polygon","10279.79,17913.40 10104.97,18051.81 10163.24,18467.01 10028.48,18408.73 9904.65,18386.88 9671.55,18434.23 9522.22,18521.64 9442.10,18594.48 9307.34,18718.32 9219.93,18831.22 9172.58,18896.78 9216.28,18922.28 9329.19,18765.66 9525.87,18568.99 9664.27,18477.94 9824.52,18441.51 9970.21,18419.66 10185.09,18492.50 10210.59,18448.80 10152.31,18157.43 10152.31,18066.37 10338.06,17942.54",-1,-1,-1,-1,-1,-1,-1
2933,"undefined","exclude STAT1","Ellipse","5088.6396484375,20052.26171875 4811.83740234375,20052.26171875 4950.23828125,20196.125 4950.23828125,19908.396484375",4950.238409500885,20052.26097905338,138.40113330350596,143.86428035933568,-1,-1,"1,0,0,0,1,0,0,0,1"
2934,"undefined","exclude CD163","Ellipse","17496.33984375,14773.609375 17181.294921875,14773.609375 17338.81640625,14922.0263671875 17338.81640625,14625.1923828125",17338.81712414629,14773.609307195216,157.52228693534198,148.4169770052904,-1,-1,"1,0,0,0,1,0,0,0,1"
