,X_centroid,Y_centroid,Hoechst,AF1,CD31,Ki-67,AF2,CD163,CD20,CD4,CD8a,CD68,PD-L1,FOXP3,E-Cadherin,PD-1,CD45,Pan-CK,SMA,Cell type
83906,1875.5,4600.4,4113.7231,1100.2554,310.135,349.1604,400.0682,242.2914,357.7086,282.6631,253.2914,221.6176,335.6604,241.984,243.2286,254.5495,251.8703,222.2727,287.8971,Others
83910,1502.9,4605.3,6141.5903,2472.2705,504.3052,660.7001,632.9143,412.8487,729.3856,397.1098,340.4779,286.5676,335.585,265.7631,261.4257,278.1017,765.8488,226.0616,301.0281,Others
83911,1543.8,4604.7,5839.6772,2042.6794,475.9306,491.8373,620.9594,241.299,434.8636,356.4019,264.2919,228.5048,280.0813,234.6483,269.6699,177.5813,258.4498,223.7488,3196.6267,Others
83912,1561.9,4604.6,6588.6152,2407.343,852.0209,527.7016,633.5524,327.0471,537.7435,352.8377,302.8822,262.7906,305.7408,260.5497,257.4503,258.0864,260.2827,222.0419,1260.7905,Others
83913,1570.1,4604.8,5877.7031,1568.8276,441.9496,469.1485,532.0557,255.0318,421.8674,343.4509,268.992,208.7639,286.4748,246.1777,254.1167,193.7905,254.7984,220.1698,2043.6472,Others
83914,1617.9,4604.8,2904.9548,1528.1915,345.6507,434.3437,507.9437,290.6028,452.9577,366.2422,285.0366,257.2197,319.2986,270.462,254.769,338.6986,804.9437,226.9747,303.8761,Others
83916,1555.8,4607.5,5507.3594,2314.4868,969.1564,575.8173,621.0113,313.3755,519.97,374.3755,314.4693,256.1339,301.9324,253.6921,255.8385,215.7409,265.8123,219.2078,1957.5507,Others
83917,1565.8,4609.1,7053.8618,1921.178,596.2542,456.7175,577.0113,269.6836,445.9548,350.8588,277.5763,239.2175,292.2881,235.904,255.8729,213.2288,254.8616,223.3503,1901.8842,Others
83918,1584.9,4609.2,3058.1387,1327.3738,388.5405,352.595,472.3987,267.8349,385.0093,307.6651,257.6854,237.4657,288.2975,251.7928,245.028,274.2913,258.5078,226.5545,324.0436,Others
83919,1692.7,4611.5,6749.6802,1282.0409,328.8531,372.3885,446.0167,609.8271,427.1561,359.3234,271.0929,273.0669,332.4034,257.6431,249.3141,276.9684,295.2435,229.145,303.5149,Others
83922,1722.2,4612.6,4202.8584,2040.9235,365.5943,393.5024,567.2325,280.2679,427.5665,314.7502,267.5828,244.6727,299.3282,243.4057,252.0201,264.2861,269.9014,223.2124,294.067,Others
83925,1549.8,4614.2,7664.0488,1425.3884,360.1186,389.3512,503.0488,275.807,404.0814,406.4116,260.5256,248.1628,303.0488,231.7209,255.6861,245.5605,383.1791,227.6744,605.5488,Others
83926,1682.1,4615.7,3281.2695,1038.5576,304.2574,346.7306,415.2238,251.2748,383.504,277.6233,251.3861,223.7212,333.7225,243.0764,248.2399,264.4906,267.181,225.3378,305.1917,Others
83929,1926.1,4615.9,7138.5088,1250.972,337.6471,385.5,414.5721,259.9323,386.3294,303.0721,264.6985,234.6162,362.0118,249.5015,248.4279,256.1603,252.5765,220.9765,281.35,Others
83931,1578.9,4619.5,6124.019,1147.0564,316.6194,344.6671,437.0637,315.3531,379.7583,289.6049,249.5962,240.0926,282.0912,241.0101,248.8871,255.0941,267.7988,223.9855,315.8235,Others
83932,1613.0,4619.5,2648.6196,880.1834,295.6134,307.4201,393.5452,238.746,338.1165,278.8178,237.9517,218.6766,275.2144,238.6679,245.7769,258.7137,262.3123,224.0421,353.0781,Others
83935,1546.5,4621.5,2867.1321,852.6907,288.4247,317.3794,372.6289,252.3052,348.0474,273.9979,237.8907,221.6,279.2557,238.7258,249.8825,250.0701,258.8371,224.2701,317.1732,Others
83936,1701.9,4622.8,6412.5835,973.3318,427.4726,325.5837,398.2548,269.5956,1208.9674,303.597,251.317,232.3689,294.9007,248.5452,250.437,273.077,738.1689,226.1126,300.357,CD20+
83941,1678.6,4623.8,1518.8989,1033.0,306.227,339.5685,425.3393,246.3281,393.3416,269.9416,245.5528,235.3596,304.8517,240.6112,254.7011,261.0584,281.6854,225.3124,297.1191,Others
83942,1822.4,4626.2,5024.4619,1215.7531,314.9268,366.9055,453.5686,252.2165,392.7774,293.311,248.2378,223.6844,324.2363,242.314,248.2607,262.6738,260.721,222.1753,300.5046,Others
83944,1691.1,4628.4,4996.1206,1097.1476,334.9113,346.2404,431.9247,289.8359,413.6151,323.2177,252.937,234.9855,290.3798,245.2208,245.5428,273.7596,323.8762,222.3571,288.7575,Others
83945,1626.7,4628.8,6092.709,1268.0298,457.6281,367.6198,468.3653,259.7339,403.1521,324.1471,271.124,236.1554,298.3174,242.5074,255.4033,266.1405,274.3967,225.8694,634.476,Others
83946,1638.0,4630.2,6088.0991,1512.3969,520.1544,443.6567,519.2425,320.3181,453.5811,396.0047,276.6063,252.285,319.5606,246.5417,256.6866,239.4567,291.2126,221.2898,1513.0566,Others
83947,1878.8,4630.7,3962.3799,1119.5474,320.1982,357.1366,415.4615,234.3348,354.4427,280.0859,239.8921,225.3326,333.641,242.8084,248.3238,256.8073,253.0242,224.0947,292.7632,Others
83951,1589.4,4631.1,6674.4976,1307.493,335.4977,366.424,465.2458,398.2412,418.2934,539.8172,270.4516,380.5699,313.5376,257.3303,247.7681,292.2243,734.3256,229.3303,301.2657,Others
83952,1707.9,4631.7,2876.2175,1304.5868,366.2549,362.0813,488.9099,301.2615,411.367,395.5428,254.2044,236.5495,292.3582,243.756,248.6945,323.0308,371.6286,226.5209,295.7582,Others
83953,1725.6,4631.9,4436.2114,1199.4705,373.4933,370.3467,441.2229,268.5257,440.9314,298.2019,260.36,237.2876,304.9771,248.0267,245.8419,271.259,285.56,222.4267,290.8438,Others
83955,1598.1,4633.5,7460.8926,1413.5931,349.5335,385.3979,493.5633,515.0507,443.6841,445.9255,294.6319,413.3607,320.7392,254.3219,248.8838,291.1386,725.0805,228.3979,298.1252,Others
83956,1914.9,4634.3,5613.9551,2552.1057,542.8077,720.8846,601.8718,396.2308,715.2436,388.5545,337.8125,283.4375,354.7596,259.6699,259.234,262.9663,419.2324,225.633,291.9984,Others
83960,1609.0,4635.3,7835.5571,1537.7196,382.5215,436.4822,477.1215,1144.4972,537.5197,503.0224,297.015,414.1589,350.4392,270.7533,249.9944,284.114,419.1869,230.514,288.8299,CD163+
