Filename,Number of Objects,Number of Features
OHSU_TMA1_004-A10_OHSU_TMA1_004-A10-cellRingMask.csv,9116,50
OHSU_TMA1_004-A11_OHSU_TMA1_004-A11-cellRingMask.csv,12964,50
OHSU_TMA1_004-A1_OHSU_TMA1_004-A1-cellRingMask.csv,23685,50
OHSU_TMA1_004-A2_OHSU_TMA1_004-A2-cellRingMask.csv,3027,50
OHSU_TMA1_004-A3_OHSU_TMA1_004-A3-cellRingMask.csv,14435,50
OHSU_TMA1_004-A4_OHSU_TMA1_004-A4-cellRingMask.csv,15364,50
OHSU_TMA1_004-A5_OHSU_TMA1_004-A5-cellRingMask.csv,18030,50
OHSU_TMA1_004-A6_OHSU_TMA1_004-A6-cellRingMask.csv,4819,50
OHSU_TMA1_004-A7_OHSU_TMA1_004-A7-cellRingMask.csv,13915,50
OHSU_TMA1_004-A8_OHSU_TMA1_004-A8-cellRingMask.csv,14389,50
OHSU_TMA1_004-A9_OHSU_TMA1_004-A9-cellRingMask.csv,892,50
OHSU_TMA1_004-B10_OHSU_TMA1_004-B10-cellRingMask.csv,6746,50
OHSU_TMA1_004-B11_OHSU_TMA1_004-B11-cellRingMask.csv,13491,50
OHSU_TMA1_004-B1_OHSU_TMA1_004-B1-cellRingMask.csv,6125,50
OHSU_TMA1_004-B2_OHSU_TMA1_004-B2-cellRingMask.csv,1898,50
OHSU_TMA1_004-B3_OHSU_TMA1_004-B3-cellRingMask.csv,13315,50
OHSU_TMA1_004-B4_OHSU_TMA1_004-B4-cellRingMask.csv,10331,50
OHSU_TMA1_004-B5_OHSU_TMA1_004-B5-cellRingMask.csv,5464,50
OHSU_TMA1_004-B6_OHSU_TMA1_004-B6-cellRingMask.csv,17629,50
OHSU_TMA1_004-B7_OHSU_TMA1_004-B7-cellRingMask.csv,9527,50
OHSU_TMA1_004-B8_OHSU_TMA1_004-B8-cellRingMask.csv,219,50
OHSU_TMA1_004-B9_OHSU_TMA1_004-B9-cellRingMask.csv,6993,50
OHSU_TMA1_004-C10_OHSU_TMA1_004-C10-cellRingMask.csv,15424,50
OHSU_TMA1_004-C11_OHSU_TMA1_004-C11-cellRingMask.csv,3636,50
OHSU_TMA1_004-C1_OHSU_TMA1_004-C1-cellRingMask.csv,3942,50
OHSU_TMA1_004-C2_OHSU_TMA1_004-C2-cellRingMask.csv,9766,50
OHSU_TMA1_004-C3_OHSU_TMA1_004-C3-cellRingMask.csv,4321,50
OHSU_TMA1_004-C4_OHSU_TMA1_004-C4-cellRingMask.csv,3406,50
OHSU_TMA1_004-C5_OHSU_TMA1_004-C5-cellRingMask.csv,12983,50
OHSU_TMA1_004-C6_OHSU_TMA1_004-C6-cellRingMask.csv,1248,50
OHSU_TMA1_004-C7_OHSU_TMA1_004-C7-cellRingMask.csv,9505,50
OHSU_TMA1_004-C8_OHSU_TMA1_004-C8-cellRingMask.csv,5049,50
OHSU_TMA1_004-C9_OHSU_TMA1_004-C9-cellRingMask.csv,22063,50
OHSU_TMA1_004-D10_OHSU_TMA1_004-D10-cellRingMask.csv,4579,50
OHSU_TMA1_004-D11_OHSU_TMA1_004-D11-cellRingMask.csv,3898,50
OHSU_TMA1_004-D1_OHSU_TMA1_004-D1-cellRingMask.csv,7978,50
OHSU_TMA1_004-D2_OHSU_TMA1_004-D2-cellRingMask.csv,8838,50
OHSU_TMA1_004-D3_OHSU_TMA1_004-D3-cellRingMask.csv,10683,50
OHSU_TMA1_004-D4_OHSU_TMA1_004-D4-cellRingMask.csv,13834,50
OHSU_TMA1_004-D5_OHSU_TMA1_004-D5-cellRingMask.csv,2924,50
OHSU_TMA1_004-D6_OHSU_TMA1_004-D6-cellRingMask.csv,7713,50
OHSU_TMA1_004-D7_OHSU_TMA1_004-D7-cellRingMask.csv,18429,50
OHSU_TMA1_004-D8_OHSU_TMA1_004-D8-cellRingMask.csv,2789,50
OHSU_TMA1_004-D9_OHSU_TMA1_004-D9-cellRingMask.csv,2350,50
OHSU_TMA1_004-E10_OHSU_TMA1_004-E10-cellRingMask.csv,11890,50
OHSU_TMA1_004-E11_OHSU_TMA1_004-E11-cellRingMask.csv,8381,50
OHSU_TMA1_004-E1_OHSU_TMA1_004-E1-cellRingMask.csv,30624,50
OHSU_TMA1_004-E2_OHSU_TMA1_004-E2-cellRingMask.csv,5493,50
OHSU_TMA1_004-E3_OHSU_TMA1_004-E3-cellRingMask.csv,3730,50
OHSU_TMA1_004-E4_OHSU_TMA1_004-E4-cellRingMask.csv,12254,50
OHSU_TMA1_004-E5_OHSU_TMA1_004-E5-cellRingMask.csv,18121,50
OHSU_TMA1_004-E6_OHSU_TMA1_004-E6-cellRingMask.csv,15257,50
OHSU_TMA1_004-E7_OHSU_TMA1_004-E7-cellRingMask.csv,18088,50
OHSU_TMA1_004-E8_OHSU_TMA1_004-E8-cellRingMask.csv,8245,50
OHSU_TMA1_004-E9_OHSU_TMA1_004-E9-cellRingMask.csv,12664,50
OHSU_TMA1_004-F10_OHSU_TMA1_004-F10-cellRingMask.csv,8284,50
OHSU_TMA1_004-F11_OHSU_TMA1_004-F11-cellRingMask.csv,17708,50
OHSU_TMA1_004-F1_OHSU_TMA1_004-F1-cellRingMask.csv,18127,50
OHSU_TMA1_004-F2_OHSU_TMA1_004-F2-cellRingMask.csv,6290,50
OHSU_TMA1_004-F3_OHSU_TMA1_004-F3-cellRingMask.csv,11089,50
OHSU_TMA1_004-F4_OHSU_TMA1_004-F4-cellRingMask.csv,8911,50
OHSU_TMA1_004-F5_OHSU_TMA1_004-F5-cellRingMask.csv,14545,50
OHSU_TMA1_004-F6_OHSU_TMA1_004-F6-cellRingMask.csv,3805,50
