Filename,Number of Objects,Number of Features
LSP12021-A10_LSP12021-A10-cellRingMask.csv,6004,50
LSP12021-A11_LSP12021-A11-cellRingMask.csv,13593,50
LSP12021-A1_LSP12021-A1-cellRingMask.csv,19731,50
LSP12021-A2_LSP12021-A2-cellRingMask.csv,8,50
LSP12021-A3_LSP12021-A3-cellRingMask.csv,11175,50
LSP12021-A4_LSP12021-A4-cellRingMask.csv,11895,50
LSP12021-A5_LSP12021-A5-cellRingMask.csv,10907,50
LSP12021-A6_LSP12021-A6-cellRingMask.csv,286,50
LSP12021-A7_LSP12021-A7-cellRingMask.csv,6384,50
LSP12021-A8_LSP12021-A8-cellRingMask.csv,10387,50
LSP12021-A9_LSP12021-A9-cellRingMask.csv,1801,50
LSP12021-B10_LSP12021-B10-cellRingMask.csv,4775,50
LSP12021-B11_LSP12021-B11-cellRingMask.csv,10026,50
LSP12021-B1_LSP12021-B1-cellRingMask.csv,5383,50
LSP12021-B2_LSP12021-B2-cellRingMask.csv,1615,50
LSP12021-B3_LSP12021-B3-cellRingMask.csv,9521,50
LSP12021-B4_LSP12021-B4-cellRingMask.csv,7130,50
LSP12021-B5_LSP12021-B5-cellRingMask.csv,4540,50
LSP12021-B6_LSP12021-B6-cellRingMask.csv,13240,50
LSP12021-B7_LSP12021-B7-cellRingMask.csv,7997,50
LSP12021-B8_LSP12021-B8-cellRingMask.csv,544,50
LSP12021-B9_LSP12021-B9-cellRingMask.csv,6486,50
LSP12021-C10_LSP12021-C10-cellRingMask.csv,10903,50
LSP12021-C11_LSP12021-C11-cellRingMask.csv,1502,50
LSP12021-C1_LSP12021-C1-cellRingMask.csv,533,50
LSP12021-C2_LSP12021-C2-cellRingMask.csv,6997,50
LSP12021-C3_LSP12021-C3-cellRingMask.csv,308,50
LSP12021-C4_LSP12021-C4-cellRingMask.csv,2553,50
LSP12021-C5_LSP12021-C5-cellRingMask.csv,11418,50
LSP12021-C6_LSP12021-C6-cellRingMask.csv,991,50
LSP12021-C7_LSP12021-C7-cellRingMask.csv,9325,50
LSP12021-C8_LSP12021-C8-cellRingMask.csv,1293,50
LSP12021-C9_LSP12021-C9-cellRingMask.csv,18282,50
LSP12021-D10_LSP12021-D10-cellRingMask.csv,60,50
LSP12021-D11_LSP12021-D11-cellRingMask.csv,2275,50
LSP12021-D1_LSP12021-D1-cellRingMask.csv,103,50
LSP12021-D2_LSP12021-D2-cellRingMask.csv,5414,50
LSP12021-D3_LSP12021-D3-cellRingMask.csv,6730,50
LSP12021-D4_LSP12021-D4-cellRingMask.csv,11131,50
LSP12021-D5_LSP12021-D5-cellRingMask.csv,1161,50
LSP12021-D6_LSP12021-D6-cellRingMask.csv,3398,50
LSP12021-D7_LSP12021-D7-cellRingMask.csv,11926,50
LSP12021-D8_LSP12021-D8-cellRingMask.csv,1696,50
LSP12021-D9_LSP12021-D9-cellRingMask.csv,2360,50
LSP12021-E10_LSP12021-E10-cellRingMask.csv,7616,50
LSP12021-E11_LSP12021-E11-cellRingMask.csv,6238,50
LSP12021-E1_LSP12021-E1-cellRingMask.csv,24299,50
LSP12021-E2_LSP12021-E2-cellRingMask.csv,12144,50
LSP12021-E3_LSP12021-E3-cellRingMask.csv,1,50
LSP12021-E4_LSP12021-E4-cellRingMask.csv,8966,50
